C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_40_590.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_40_590.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_40_590.jpg,0,0,0,1.313092E-06
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_40_652.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_40_652.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_40_652.jpg,0,0,0,4.449456E-07
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_40_763.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_40_763.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_40_763.jpg,0,0,0,1.018049E-05
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_40_831.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_40_831.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_40_831.jpg,0,0,0,1.151039E-05
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_40_941.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_40_941.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_40_941.jpg,0,0,0,1.343943E-05
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_41_111.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_41_111.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_41_111.jpg,0,0,0,7.188056E-06
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_41_200.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_41_200.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_41_200.jpg,0,0,0,1.690702E-05
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_41_284.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_41_284.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_41_284.jpg,0,0,0,5.393001E-06
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_41_372.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_41_372.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_41_372.jpg,0,0,0,1.444209E-05
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_41_456.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_41_456.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_41_456.jpg,0,0,0,2.540817E-06
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_41_541.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_41_541.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_41_541.jpg,0,0,0,1.504079E-05
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_41_639.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_41_639.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_41_639.jpg,0,0,0,1.526952E-05
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_41_719.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_41_719.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_41_719.jpg,0,0,0,1.421342E-05
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_41_801.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_41_801.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_41_801.jpg,0,0,0,4.745751E-06
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_41_927.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_41_927.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_41_927.jpg,0,0.3219986,0,0.3668676
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_42_002.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_42_002.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_42_002.jpg,0,0.5963134,0,1.059525
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_42_112.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_42_112.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_42_112.jpg,0,0.8512367,0,1.884576
C:\Users\KIIT\Desktop\Training\IMG\center_2019_07_16_22_36_42_160.jpg,C:\Users\KIIT\Desktop\Training\IMG\left_2019_07_16_22_36_42_160.jpg,C:\Users\KIIT\Desktop\Training\IMG\right_2019_07_16_22_36_42_160.jpg,0,1,0,2.60741
